District,avg_score,median_score,std_dev,record_count,num_schools
PALALA/WATERBERG,52.0,51.87,8.59,44,1
POLOKWANE,50.96,47.68,12.49,18,1
CAPRICORN,45.58,43.23,12.9,64,3
VHEMBE,45.33,42.67,14.33,146,7
SEKHUKHUNE SOUTH,43.47,42.3,13.63,2921,133
VHEMBE WEST,42.92,40.78,14.23,2780,129
MOGALAKWENA,42.74,41.4,13.42,1968,94
CAPRICORN SOUTH,42.62,41.43,12.6,3484,157
MOPANI WEST,42.53,41.28,13.6,2614,112
VHEMBE EAST,42.49,40.53,13.26,3306,155
WATERBERG,42.13,41.08,13.34,1184,52
CAPRICORN NORTH,42.09,40.37,13.07,2604,130
SEKHUKHUNE,41.3,39.8,12.85,514,27
TZANEEN,41.11,41.73,12.07,14,1
SEKHUKHUNE EAST,40.68,39.2,12.91,3147,148
MOPANI EAST,40.36,38.75,13.04,2902,132
WATERBERG 2,37.54,36.63,13.79,38,2
MOPANI,36.59,34.08,12.0,110,5
